p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48
2.787839396,-2.219797995,-2.056672403,-2.865057436,1.739853701,-1.064891533,NA,0.741092565,-0.186172021,0.919180738,-1.190042052,0.684167155,0.23651857,-0.005718554,-2.605633821,0.475080014,-2.949344526,2.884813329,0.565694757,-1.848842571,-1.480662658,2.549913927,-0.392091845,-2.97867865,-4.14714533,-0.925086718,-1.641074326,0.982627691,-0.651724991,-0.212788406,-0.901702855,-1.754210389,-7.664456044,2.228332641,4.060874341,1.429380129,2.106939166,1.777325366,-2.962112735,-0.7207368,-1.891501788,3.329441627,3.537957449,NA,1.713311696,1.591009617,1.347954213,1.901626068
5.689551769,1.383537636,-1.858591287,1.578974932,-5.505363695,-0.503639006,6.202669617,5.076779703,2.278684,-0.244673465,0.382721743,0.581828742,-4.908414894,-2.518384545,0.085042203,2.748939791,-3.443338647,-3.890180399,0.276179031,2.162332053,-4.771221565,-1.091711654,-0.167896555,1.714334368,2.766290364,-1.277962573,-0.807275056,2.77076091,-4.790160743,0.314249502,1.138935872,1.295193932,0.793649205,-2.851172726,4.481411105,3.55421861,-2.313003871,-2.209248371,2.435047186,2.269179838,6.923152539,3.357894642,NA,-3.812237986,NA,NA,0.061276068,-8.137086912
3.933832019,2.125667428,-2.644459283,2.860709047,2.520252746,-2.190504968,-3.371291747,2.01433024,2.084246321,-2.133529615,5.355285765,-0.642685613,0.759361132,-1.696221229,-6.0404371,1.774150899,-2.131851515,0.474152835,6.668132574,-2.826195072,4.430112142,-6.658871502,2.555112711,-0.806867227,-0.951351831,1.345758477,-2.69729906,-5.60398725,1.533032849,-3.590555372,4.608726209,0.896393481,-0.89626091,1.550373985,-2.058029048,-1.917577122,2.918849162,2.266026263,1.53036053,0.738664029,3.940254811,0.579910939,0.028245503,NA,7.47424058,0.810621529,0.928553415,8.130461636
-2.501755026,-0.582164732,4.682223824,-1.20730331,3.021683033,2.493451467,-5.155338911,-1.075310021,1.126631504,-3.090751448,-5.880389527,-0.961680289,1.872104916,-1.118208422,-8.447465273,-1.908548746,-0.232237547,2.322453316,-3.145376165,-3.464517241,-0.986084102,1.815159181,2.853850132,-1.883431168,-8.260518919,2.344384839,-0.206928328,-0.440469332,5.767703415,2.529520065,2.899147038,-0.768958253,-2.532287434,4.026289806,-1.495084199,-0.859043703,-0.311883113,3.394235326,2.864107138,-0.967627757,-4.632269534,-4.21495724,0.41600228,0.60668514,-2.098877135,-2.336931176,0.573514569,-0.87488735
-6.025144563,-3.944291407,9.990060465,-1.30888601,-1.268095009,-0.512173821,2.769656708,-3.860104223,-2.195706063,-1.518528349,1.318605134,1.00018859,-3.239919384,-5.520614398,5.065710869,-0.507884075,-4.46175913,-3.92394903,3.189119665,4.299026613,-3.187649328,-3.308297738,0.021104413,-0.517056842,1.354017851,1.974464774,3.594722397,0.072001502,1.829452641,-2.697557602,-4.744528713,-1.796543717,-3.523061612,-6.838139731,-1.734935596,4.348934193,5.590206909,0.78385436,1.97547023,-3.437483782,2.010695576,-3.471062976,-1.360337122,-1.401597182,6.901014864,4.724673173,1.146586602,-1.685795802
3.45757406,7.630279449,-2.563094663,4.700467075,0.40972634,-0.152442031,-0.497900564,NA,-3.338942652,0.381122186,-1.79015712,1.503516449,0.760888957,5.830564059,3.894575561,-3.08877683,0.610225371,-3.821840925,1.073171867,1.039915228,-0.290897835,-0.010233144,4.194131855,3.969630912,2.708555238,-0.857079142,1.247884575,4.465490062,-0.447519857,-3.358910623,-1.335369879,2.447087803,4.143479835,4.785126364,-0.43573619,3.103714122,0.485009838,1.126823345,1.426692423,-0.092823007,-2.054751432,3.062104632,-3.055096993,3.907820743,0.283360614,4.736520104,-4.288661389,-0.774173565
1.914592262,1.732457784,3.044373803,2.493982106,-0.195608645,-1.83208337,-0.18288963,-5.501517947,-1.018643444,3.05296037,-1.938274712,3.833671094,-1.098518437,5.461880432,2.92136505,0.30255844,2.825435818,NA,4.914679501,0.114959834,4.094531469,2.125594733,-3.712289861,3.288890245,1.843072011,-1.287161974,-2.422343182,3.881515015,2.078666139,2.01100848,-0.861538278,1.625118523,1.661489976,5.191674899,-0.460396725,2.409892639,4.701074638,3.275084221,0.790820787,6.219042536,-0.843457729,1.820415288,2.687279278,5.086451666,NA,-0.00172203,1.858520054,4.704370376
2.493080804,-5.240096242,1.527128414,0.485437972,-1.152624371,-0.760714172,-0.436887521,-2.191541097,5.031262159,NA,-2.498742924,-1.454993719,-2.801858172,3.109707439,-1.083223702,1.350553239,-1.531383088,-4.645879021,0.197424475,3.610030799,1.46704319,-1.914719179,-1.536139083,1.106412554,0.604153653,-2.310129953,-0.536786489,-1.902598948,3.277037348,1.012219585,0.702673294,-0.897771125,6.555207098,-1.194349598,2.307216704,2.483030409,-3.807875738,-5.320548644,1.980855977,1.706203265,-3.666482624,-1.213891064,3.33194264,-0.025798198,1.892620188,2.398184783,2.42819246,-0.389088897
-2.901602033,2.022938823,0.239187651,-1.607805095,3.616659658,2.822118766,4.853113667,-0.3239398,-0.286090815,-1.173011134,1.015545392,0.338716961,-0.64453031,-3.73327193,0.687612933,-1.154337585,1.501236387,3.397168206,-3.134445415,-1.198930323,-0.551560741,-0.214289296,-1.75339635,2.498264416,-0.351327122,-1.052108954,-3.063035871,0.14746861,-1.423704972,-4.379731792,-5.072516697,4.670925281,-2.458694026,2.202911974,1.576287381,-1.375870855,-0.606554716,3.20770568,-2.695014356,-6.667524205,7.077143091,0.362333081,-0.994635593,NA,NA,2.492564708,-4.536964399,-3.449140823
5.154339995,3.012674595,1.83492351,-1.093473018,-1.770178697,4.872910548,7.044276122,2.122784156,2.786858267,-1.804704408,-5.265875342,-1.635628959,2.796947677,2.475773278,-7.214372917,-1.337385857,-4.68479515,-5.187340547,-6.248693289,-3.04293055,-2.333004977,1.602950718,2.158213143,1.623804232,5.93758079,4.129682784,-1.983578578,-1.845544679,0.038413257,1.053553736,1.937712025,-2.576278511,1.846502791,2.472098718,-4.19544818,-7.587116989,-3.532769722,-1.584347113,4.564375165,-0.408511442,3.760262811,4.676104809,4.896348883,-0.561231686,-15.33278806,-3.931992154,3.981413866,0.408991571
