distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48
0,9.243689991,-2.882524208,-8.444255022,9.463342993,0.020861671,0.833056411,-5.71652097,NA,-0.20493438,0.023124775,-9.783287165,4.297743525,2.958000385,-3.651285768,0.130577609,-5.464744479,-1.462907102,-7.528915742,6.309842878,4.627173384,4.130667478,0.386131078,-4.401159484,1.203543916,1.750611134,-3.319923454,-3.787924642,-1.970348236,7.699805247,-0.617053588,4.273475448,10.18560017,5.622058757,-0.640792829,-8.252854228,2.755074379,-2.691295533,-1.923039757,-0.952666822,-1.295193742,-7.765154491,-0.715526513,-0.129134876,-2.004171916,0.889969174,9.68020507,-2.206880259,1.534059957
0,-5.271503235,1.270482614,4.660490991,-4.372993545,-4.017263706,3.397616328,2.610326877,-6.488599977,-0.630584839,13.14921325,6.480978064,-7.400004575,-3.622046548,8.224301035,-5.031782426,7.861718724,-4.233219097,-1.52053795,1.27163382,2.050399108,-14.61566563,-0.327304339,-2.309392118,-0.26725239,-5.590294176,-1.80760488,17.6009386,0.387038125,-0.095863742,-2.949389461,-1.155510205,4.489071512,-1.368859398,-4.593617549,2.36991533,-10.77097491,-5.752473585,1.968473201,2.280053198,3.805360359,-1.303755016,-1.764435243,3.068324161,NA,5.376348763,-11.93699011,-0.416003346,-2.927600552
0,0.301284755,-2.053664807,-3.982531822,-2.254689386,2.346784355,NA,-3.734852346,-1.607186399,-4.715648072,4.47219802,9.419285187,-7.3029991,4.212613404,-0.244871241,-7.701702627,0.081380759,-3.825902225,-4.65312944,2.65182905,-9.033290227,5.04364901,-4.941214059,-3.589410222,-4.04884429,-6.050686512,3.774917454,12.04208824,2.513316793,-1.366440423,-4.001598495,-0.080415086,-4.438503551,-2.385067595,-1.518777276,5.323240774,-1.731438264,7.895248102,1.121001815,2.389747765,-3.098982292,10.35007622,1.268944022,-5.50328826,-2.379389622,NA,7.408456092,5.219592595,-8.953812586
0,0.041737019,3.955776063,4.699637133,-4.088038239,0.055511856,-3.221865885,-3.751168485,-0.123651091,3.33850176,-3.760858243,9.51070316,3.095112951,2.846965938,0.194769178,-3.199089136,2.631932505,2.675582043,2.458314672,5.827269766,4.03237243,NA,2.872123507,0.428716204,-6.241634048,2.152586093,1.658375713,7.620482085,-4.842840317,1.193809433,-5.47169468,7.619823197,-0.87285,-9.299652949,-3.925860169,0.033839046,-8.74117634,-7.461618883,-2.404977862,8.669230866,0.272399811,5.031052724,-6.451160574,4.256464992,-1.420148257,7.49439382,10.40443646,0.890402511,-1.82004603
0,-0.727591269,10.61634113,-5.93757517,-0.758453195,-1.555328964,-0.201797466,11.7582137,1.331594824,-2.171254534,-8.749264238,-2.543964417,0.048769529,-5.458002617,-3.390544115,0.759921097,2.19529529,-10.41203349,2.050004225,-4.642261088,0.511192338,2.948942128,6.756319315,5.397840703,-1.154644915,-11.94274102,-4.674264596,9.744893612,7.436368938,-2.432067125,1.903739791,-4.38092649,3.491908924,3.956654414,-3.400472424,5.167181067,7.204615667,-3.123209635,-2.528479248,3.535492106,3.900129279,0.565815067,4.107119378,0.682654566,-1.89979992,-3.783539628,-3.68778207,-3.846697743,14.31100553
0,8.528623578,-2.277098075,-2.293090842,-3.518375596,1.25419637,7.208824722,-6.586621443,-3.611984199,4.394339296,NA,-6.224701533,-2.059997196,7.659547396,0.917480395,-14.72679625,-5.562526354,7.998007318,6.499969222,-4.99515054,-4.760555578,6.120753161,-1.844124725,-9.474386569,-2.812430991,-1.349908133,8.609027736,-11.43627301,-9.630016783,11.53944008,8.029153756,-0.566605084,-2.294981115,-6.870477266,3.95688742,-4.708291045,-2.694551492,0.226069058,6.191588518,-1.998780916,-6.297922504,-9.880977024,-0.31689036,-0.734750557,5.949940767,-4.968601775,-7.155071048,-3.287809792,-4.972681131
0,-7.783497548,-8.29362222,4.423947853,1.268969991,-0.218949992,-1.716152418,-9.231725468,2.266573971,-6.387204114,-3.180811725,-1.654602175,-3.452491352,3.614750212,0.704062531,-5.527265252,5.210845201,-2.06659497,3.662572426,1.013745904,5.097211372,-6.388997415,2.977814022,0.319337853,2.054266938,2.587661687,4.589499738,-5.251278222,-1.990130485,6.564653962,6.06663522,2.649105817,-0.23255495,1.590969203,0.02943152,5.056660364,8.847252158,-2.90073238,2.913270178,-9.063751397,-4.86006819,3.74632841,4.882468167,-2.618398306,11.05654557,-5.656712627,10.06989166,-0.219199246,0.851225064
0,-8.644247467,10.33106547,-4.173294738,11.68834226,2.88901163,6.738260842,0.912504797,-0.475550755,-2.261368257,4.451958992,3.357761725,5.608285278,-3.583779452,4.413305056,-6.67759523,4.630831085,-6.220325181,-2.288787262,-6.626810275,2.130540384,-4.967514363,3.991827605,-1.861608895,2.225922408,-4.355656762,8.074873198,-9.364575138,9.329655421,-6.674231344,4.856102224,-3.548813205,-1.71645859,5.913199077,12.35158651,-8.628717799,7.439199915,-2.637281981,3.744054519,-7.344551919,-0.172275667,-6.790909118,-1.201309622,-5.221101835,4.544232733,-3.363999336,3.928343347,-5.687072273,7.937092784
0,2.922437331,-0.39628406,2.982170411,-4.884574277,-3.427213936,-6.970197516,1.491834035,1.882308272,-2.46958104,1.61446314,9.581503728,-6.646723718,7.304880332,9.363007504,0.794692669,-6.615108169,10.79559253,-1.079755518,-1.699326871,-1.104429901,-0.534424323,-3.300778289,-7.069621267,-2.784206991,-5.511333537,5.294375536,0.679605596,-10.7769107,0.660218041,0.815040452,-1.643046032,-5.685314751,-7.630173808,5.601544998,-1.905598101,-3.271800907,-6.156341072,-0.463640466,-2.174128004,-0.708028965,NA,-9.035304248,6.016549583,12.32274349,2.316666078,-3.468907895,-7.79347859,-8.264653095
0,1.52968801,-4.581373954,-3.125030696,-2.668556412,-4.253260892,-5.494762858,-0.845344724,-0.326399022,4.055175445,-1.511576373,-15.28667211,1.406666003,5.08584395,0.164439999,11.09869127,-5.744882186,-4.043482655,1.398823785,0.562068732,4.988299241,-8.615813401,5.150629364,3.89553321,4.717940747,-10.68630965,6.085502274,-8.503626325,0.643833981,0.179929085,-3.123709246,-5.483838543,4.509037766,-2.42386098,-0.912293156,1.609268828,5.650053215,0.686614603,-5.75683568,3.878179639,4.687656994,9.295958441,9.787413757,-3.239075557,0.984451713,-7.568122926,7.599963811,-1.344829639,1.524902692
