p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
9.12020206451416,7.59850788116455,7.76829385757446,8.02087497711182,9.04941272735596,11.7934103012085,10.1441268920898,8.80437088012695,9.34334278106689,10.89186668396,10.0175504684448,2.44710898399353,8.46945476531982,7.79836845397949,5.16987895965576,9.92201709747314,5.06699848175049,7.35419225692749,6.3082799911499,7.55254888534546,4.20145511627197,12.1936016082764,10.7628049850464,12.5275840759277,9.34371471405029,9.47725296020508,9.85257625579834,8.13141536712646,10.6164627075195,10.5085487365723,3.79963445663452,9.50703144073486
9.47577571868896,7.92053365707397,8.11140632629395,8.37437725067139,9.44093227386475,12.1883172988892,10.5808610916138,9.18447017669678,9.74625110626221,11.3408517837524,10.4342823028564,2.55088949203491,8.83538722991943,8.12407779693604,5.42173671722412,10.3374767303467,5.29996967315674,7.67257499694824,6.59343099594116,7.88583326339722,4.28306150436401,12.679027557373,11.2009744644165,13.0061950683594,9.69937038421631,9.8781566619873,10.2488994598389,8.45102787017822,11.0072374343872,10.8836584091187,3.94282197952271,9.88677978515625
9.8210391998291,8.2370548248291,8.44922351837158,8.72219371795654,9.82513427734375,12.5733528137207,11.0079889297485,9.55769062042236,10.1412982940674,11.7791366577148,10.8423194885254,2.65343475341797,9.19510078430176,8.44366550445557,5.67089939117432,10.7441539764404,5.53076410293579,7.98648166656494,6.87509107589722,8.2141695022583,4.3573112487793,13.151219367981,11.6289768218994,13.4693088531494,10.048900604248,10.2687187194824,10.6372127532959,8.76596832275391,11.3862609863281,11.2515144348145,4.08484554290771,10.2594909667969
10.1562919616699,8.54817771911621,8.78182697296143,9.06441593170166,10.2021570205688,12.9487657546997,11.4257221221924,9.92417526245117,10.528639793396,12.2070169448853,11.2418460845947,2.75476956367493,9.5487003326416,8.7572774887085,5.91739654541016,11.1422834396362,5.75940227508545,8.29597473144531,7.15330266952515,8.53763008117676,4.42486763000488,13.6105394363403,12.0470495223999,13.9174280166626,10.3924112319946,10.649206161499,11.0177364349365,9.0763053894043,11.7538976669312,11.6122713088989,4.22580814361572,10.6252956390381
10.4818239212036,8.85400295257568,9.10929679870605,9.40113353729248,10.5721340179443,13.3147974014282,11.8342666625977,10.2840604782104,10.9084253311157,12.6247692108154,11.6330394744873,2.85491514205933,9.89628982543945,9.0650463104248,6.16125631332397,11.5320796966553,5.9859037399292,8.60111713409424,7.42810821533203,8.85628890991211,4.4863338470459,14.0573377609253,12.4554224014282,14.3510370254517,10.7300071716309,11.0198793411255,11.3906688690186,9.38210678100586,12.1104955673218,11.9660739898682,4.36578941345215,10.9843215942383
10.7979173660278,9.15462493896484,9.43171310424805,9.73243618011475,10.9351968765259,13.6716833114624,12.2338256835938,10.6374740600586,11.2808027267456,13.0326538085938,12.016074180603,2.95388984680176,10.2379722595215,9.36709690093994,6.40250682830811,11.9137449264526,6.21028900146484,8.90196895599365,7.69954919815063,9.17021656036377,4.54225873947144,14.4919557571411,12.854320526123,14.7706060409546,11.0617904663086,11.3809909820557,11.7561912536621,9.68343925476074,12.4563903808594,12.3130617141724,4.50484895706177,11.3366947174072
11.1048460006714,9.4501371383667,9.74915313720703,10.0584096908569,11.2914743423462,14.0196533203125,12.6245956420898,10.9845390319824,11.6459169387817,13.4309206008911,12.3911199569702,3.05171060562134,10.5738468170166,9.66354656219482,6.64117622375488,12.287467956543,6.43257761001587,9.1985912322998,7.96766710281372,9.47948265075684,4.59314203262329,14.9147253036499,13.2439641952515,15.1765899658203,11.3878612518311,11.7327871322632,12.1144723892212,9.98036766052246,12.7919063568115,12.6533679962158,4.64303302764893,11.6825380325317
11.4028749465942,9.74062728881836,10.0616941452026,10.3791408538818,11.6410942077637,14.3589296340942,13.0067710876465,11.3253736495972,12.0039100646973,13.8198080062866,12.7583446502686,3.14839291572571,10.9040126800537,9.95450592041016,6.87729215621948,12.6534280776978,6.65278911590576,9.49104309082031,8.23250198364258,9.78415679931641,4.63943815231323,15.3259696960449,13.6245679855347,15.5694284439087,11.7083177566528,12.0755090713501,12.4656705856323,10.2729558944702,13.117356300354,12.9871244430542,4.78037691116333,12.02197265625
11.6922626495361,10.0261831283569,10.3694114685059,10.6947135925293,11.9841804504395,14.6897296905518,13.380539894104,11.6600923538208,12.3549203872681,14.1995449066162,13.1179113388062,3.24395155906677,11.2285671234131,10.2400817871094,7.11088180541992,13.0117969512939,6.87094306945801,9.77938365936279,8.49409484863281,10.0843076705933,4.68156051635742,15.7260026931763,13.9963417053223,15.9495468139648,12.0232563018799,12.4093904495239,12.8099365234375,10.5612678527832,13.4330434799194,13.3144578933716,4.91690874099731,12.3551168441772
11.973258972168,10.3068885803223,10.6723794937134,11.0052108764648,12.320855140686,15.0122652053833,13.7460880279541,11.9888067245483,12.6990842819214,14.5703525543213,13.4699792861938,3.33840036392212,11.5476055145264,10.520378112793,7.34197235107422,13.3627405166626,7.08705854415894,10.0636701583862,8.75248527526855,10.3800020217896,4.71988582611084,16.1151294708252,14.3594903945923,16.3173580169678,12.3327722549438,12.7346591949463,13.1474151611328,10.8453664779663,13.7392616271973,13.6354923248291,5.05265045166016,12.6820878982544
12.2461080551147,10.5828275680542,10.9706716537476,11.3107137680054,12.6512384414673,15.3267421722412,14.1035957336426,12.3116264343262,13.0365352630615,14.9324464797974,13.8147048950195,3.43175315856934,11.8612222671509,10.7954950332642,7.57059001922607,13.7064180374146,7.30115461349487,10.3439598083496,9.00771236419678,10.6713066101074,4.75475597381592,16.4936485290527,14.7142133712769,16.6732597351074,12.6369590759277,13.0515375137329,13.4782466888428,11.1253128051758,14.0362949371338,13.9503488540649,5.18761920928955,13.0030002593994
12.5110454559326,10.8540811538696,11.2643604278564,11.6113033294678,12.9754476547241,15.6333627700806,14.4532403945923,12.6286582946777,13.3674039840698,15.2860336303711,14.1522407531738,3.52402281761169,12.1695079803467,11.0655298233032,7.79676198959351,14.0429849624634,7.51325035095215,10.6203088760376,9.25981426239014,10.9582853317261,4.78648233413696,16.8618488311768,15.0607070922852,17.0176372528076,12.9359083175659,13.3602418899536,13.8025646209717,11.4011678695679,14.3244190216064,14.259147644043,5.32182884216309,13.3179655075073
12.7683010101318,11.1207284927368,11.5535163879395,11.907057762146,13.2935981750488,15.9323225021362,14.7951946258545,12.9400062561035,13.691819190979,15.6313171386719,14.4827375411987,3.61522245407104,12.4725542068481,11.3305768966675,8.0205135345459,14.3725900650024,7.72336435317993,10.8927726745605,9.50883007049561,11.2410039901733,4.81534862518311,17.2200126647949,15.3991622924805,17.3508644104004,13.2297105789185,13.6609830856323,14.1205015182495,11.6729907989502,14.6039009094238,14.5620040893555,5.45529079437256,13.6270942687988
